source,medium,campaign,visits,purchases,sales
google,organic,(organic),111488,1250,95775.0
(direct),(none),(direct),82362,1079,79650.0
(data deleted),(data deleted),(data deleted),20652,677,48943.0
shop.googlemerchandisestore.com,referral,(referral),28044,585,46521.0
<Other>,referral,(referral),34109,471,37000.0
<Other>,<Other>,<Other>,51774,506,35470.0
google,cpc,<Other>,15534,153,9056.0
<Other>,organic,(organic),10078,97,8232.0
(data deleted),(data deleted),<Other>,435,21,1121.0
<Other>,(data deleted),(data deleted),375,9,397.0
(data deleted),referral,(referral),2,0,
<Other>,referral,<Other>,1,0,
<Other>,cpc,<Other>,1,0,
google,<Other>,<Other>,1,0,
<Other>,<Other>,(data deleted),1,0,
