category,language,operating_system,visits,purchases,sales
mobile,,Web,23782,526,42677.0
desktop,zh,Web,4533,37,3905.0
mobile,en-us,Web,33288,341,23298.0
desktop,,Web,42283,858,66107.0
mobile,en-us,Android,13378,142,8544.0
desktop,en,Web,4188,51,3499.0
desktop,en-us,<Other>,4056,45,3861.0
tablet,ko,iOS,20,0,
desktop,en-us,Windows,18823,189,13418.0
desktop,en-us,Web,59648,579,39629.0
desktop,en-us,Macintosh,11969,128,9637.0
desktop,,Macintosh,8632,175,14551.0
desktop,en,Windows,1321,8,483.0
mobile,en,Android,985,8,447.0
desktop,,<Other>,2977,66,6233.0
mobile,es-es,Web,1180,11,918.0
mobile,de,Android,259,0,
mobile,,Android,9911,196,16033.0
mobile,,iOS,12506,277,20919.0
mobile,en-us,iOS,17780,196,13608.0
desktop,en-gb,Windows,2847,29,1923.0
mobile,zh,Web,2529,26,1423.0
mobile,zh,iOS,1338,11,754.0
desktop,fr,Web,2067,21,1418.0
desktop,es-es,Macintosh,390,1,105.0
desktop,ko,<Other>,65,0,
desktop,en-ca,Web,3421,34,2473.0
desktop,en-gb,Web,9122,93,6188.0
tablet,fr,Android,27,0,
desktop,de,Web,1308,19,1251.0
desktop,ko,Web,1001,8,562.0
mobile,en,Web,2456,39,2923.0
desktop,en-gb,<Other>,580,4,876.0
mobile,en-gb,iOS,2764,20,1708.0
tablet,en-us,iOS,1048,12,1189.0
mobile,en-ca,Android,754,7,330.0
desktop,fr,Windows,681,8,429.0
desktop,fr,Macintosh,432,4,870.0
desktop,,Windows,13188,255,19942.0
mobile,en-gb,Android,2096,21,950.0
desktop,ko,Windows,324,5,685.0
desktop,zh,Windows,1459,13,1111.0
desktop,en-ca,Macintosh,703,4,341.0
mobile,en-ca,Web,1926,15,840.0
mobile,en-ca,iOS,1055,7,237.0
tablet,fr,iOS,38,1,33.0
desktop,en,Macintosh,910,10,862.0
desktop,es-es,Web,2147,25,1699.0
desktop,zh,Macintosh,964,9,1141.0
mobile,de,Web,681,9,187.0
mobile,en-gb,Web,5213,67,6163.0
mobile,es-es,iOS,612,8,562.0
tablet,zh,Android,63,0,
desktop,en-ca,Windows,1134,11,757.0
mobile,zh,Android,997,11,587.0
tablet,en-us,Web,1890,19,1167.0
tablet,es-es,iOS,40,2,13.0
tablet,en,Web,168,2,52.0
tablet,es-es,Web,79,2,44.0
mobile,fr,Web,1204,13,910.0
mobile,fr,Android,422,4,333.0
desktop,de,Windows,425,6,784.0
desktop,en-ca,<Other>,239,3,181.0
tablet,de,Android,18,0,
desktop,en-gb,Macintosh,1940,22,1455.0
mobile,fr,iOS,678,10,416.0
tablet,,iOS,769,9,383.0
tablet,,Web,1416,32,1694.0
mobile,en,iOS,1265,11,702.0
mobile,es-es,Android,538,4,254.0
desktop,zh,<Other>,303,6,1146.0
tablet,en-ca,Web,112,0,
desktop,es-es,Windows,662,9,371.0
mobile,ko,Android,197,4,43.0
tablet,fr,Web,68,0,
mobile,ko,Web,614,5,654.0
tablet,zh,iOS,95,1,72.0
tablet,en-us,Android,541,4,433.0
tablet,de,iOS,21,0,
desktop,es-es,<Other>,151,2,142.0
tablet,ko,Android,11,1,55.0
mobile,ko,iOS,294,1,144.0
desktop,de,Macintosh,259,4,283.0
tablet,,Android,389,12,1004.0
tablet,en-gb,iOS,166,2,126.0
tablet,en-gb,Android,99,0,
desktop,en,<Other>,325,3,139.0
desktop,fr,<Other>,120,1,48.0
tablet,en-gb,Web,316,1,30.0
tablet,ko,Web,50,1,20.0
tablet,en-ca,Android,40,0,
mobile,en-us,<Other>,22,0,
tablet,en-ca,Windows,1,0,
tablet,zh,Web,138,1,101.0
mobile,de,iOS,340,5,204.0
tablet,en-ca,iOS,62,0,
desktop,ko,Macintosh,220,3,286.0
tablet,es-es,Android,29,1,46.0
tablet,en-us,Windows,10,0,
tablet,en,Android,41,0,
tablet,en,Windows,2,0,
tablet,en,iOS,57,0,
desktop,de,<Other>,82,1,24.0
tablet,de,Web,40,1,120.0
mobile,de,<Other>,1,0,
tablet,en-gb,Windows,2,0,
tablet,,Windows,12,0,
mobile,en-gb,<Other>,4,0,
mobile,en-us,Windows,2,0,
mobile,,<Other>,5,0,
tablet,,<Other>,1,0,
mobile,en,<Other>,1,0,
mobile,fr,<Other>,1,0,
mobile,es-es,<Other>,1,0,
