landing_page,visits,purchases,sales
https://shop.googlemerchandisestore.com/,86477,2335,171049.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,39042,134,11729.0
https://googlemerchandisestore.com/,38204,201,17070.0
,27526,109,7810.0
https://www.googlemerchandisestore.com/,25752,162,10060.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,23397,53,1608.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,18426,4,361.0
https://shop.googlemerchandisestore.com/store.html,13910,157,12992.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,6943,46,2112.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,4920,43,3621.0
https://shop.googlemerchandisestore.com/signin.html,3995,114,8040.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,3602,140,15315.0
https://shop.googlemerchandisestore.com/basket.html,3500,350,30696.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,3473,12,1761.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,3207,152,12060.0
https://shop.googlemerchandisestore.com/store-policies/frequently-asked-questions/,2695,4,281.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Icon+Hoodie+Black,2418,4,72.0
https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,2267,11,378.0
https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,2048,74,4872.0
https://shop.googlemerchandisestore.com/Google+Redesign/New,1824,58,3030.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories,1549,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,1524,6,189.0
https://shop.googlemerchandisestore.com/Google+Redesign/bags/backpacks/,1516,2,216.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,1262,30,2300.0
https://shop.googlemerchandisestore.com/asearch.html,1090,20,1516.0
https://shop.googlemerchandisestore.com/google+redesign/shop+by+brand/youtube,1072,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Campus+Bike,1012,3,135.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office,956,1,16.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Noogler+Android+Figure+2019,891,8,251.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,863,46,4844.0
https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,773,14,1218.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Mugs+Tumblers,732,15,584.0
https://shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,689,23,2271.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Socks,677,13,630.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids,660,38,2365.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Water+Bottles,631,2,37.0
https://shop.googlemerchandisestore.com/Google+Redesign/Stationery,582,3,133.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android,555,5,196.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Zip+Hoodie+FC,554,11,753.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,545,9,734.0
https://shop.googlemerchandisestore.com/Google+Redesign/Super+G+Unisex+Joggers,542,23,2302.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Utility+BackPack,517,1,96.0
https://shop.googlemerchandisestore.com/Google Redesign/Lifestyle/Drinkware,476,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Bear+Baby+Blanket+Beige,465,13,592.0
https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Notebooks,425,7,319.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Magnet,423,2,60.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods,415,17,1261.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/mens,372,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/electronics,371,0,0.0
https://shop.googlemerchandisestore.com/store-policies/return-policy/,361,3,209.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/mens/quickview,355,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Pride+Sticker,350,2,79.0
https://shop.googlemerchandisestore.com/store-policies/shipping-information/,333,1,50.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags,284,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Notebooks+Journals/Google+Metallic+Notebook+Set.axd,262,2,25.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Nalgene+Water+Bottle+LS,262,13,515.0
https://shop.googlemerchandisestore.com/Google+Redesign/Google+Crew+Sweater+Navy,260,11,696.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Phone+Stand+Bamboo,248,3,50.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand,245,1,84.0
https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Writing,211,5,165.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Cotopaxi+Shell,209,8,770.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/google+dino+game+tee,203,0,0.0
https://shop.googlemerchandisestore.com/shop.axd/Cart,201,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Fun/Malibu+Sunglasses.axd,200,3,240.0
https://shop.googlemerchandisestore.com/special-request-form/,200,1,82.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mens+Puff+Jacket+Black,198,3,276.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Emoji+Sticker+Pack+2+sheet,193,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Flat+Front+Bag+Grey,191,2,170.0
https://shop.googlemerchandisestore.com/Google+Redesign/BLM+Unisex+Pullover+Hoodie,190,2,76.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Blue+YoYo,172,0,0.0
https://shop.googlemerchandisestore.com/store.html/quickview,153,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/bags/shopping+and+Totes,149,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Campus+Corkbase+Mug+Blue,149,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Zippack+V2,143,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Badge+Heavyweight+Pullover+Black,140,8,797.0
https://shop.googlemerchandisestore.com/Google+Redesign/Gift+Cards,130,1,160.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Writing/Google+Stylus+Pen+w+LED+Light.axd,127,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids/Kids+Infant,125,3,137.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Black,123,3,120.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Unisex+Eco+Tee+Black,123,4,178.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Flap+Pack,122,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Google+Confetti+Task+Pad,121,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens/Womens+T+Shirts,114,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Black+Tee,113,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Charcoal,112,3,189.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Crew+Socks,110,2,32.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Pen+White,110,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Keychain+19,109,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Seaport+Tote,109,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Twill+Cap+Sandwich+Black,107,3,78.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Glass+Bottle,104,3,90.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+KeepCup,104,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Lapel+Pin,104,2,295.0
http://shop.googlemerchandisestore.com/google+redesign/accessories/google+cork+tablet+case,104,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Puff+Jacket+Black,101,7,872.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Crewneck+Sweatshirt+Green,99,6,320.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+FC+Longsleeve+Charcoal,96,2,48.0
https://shop.googlemerchandisestore.com/Google Redesign/Lifestyle/Bags,93,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Soft+Modal+Scarf,93,3,169.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Standards+Zip+Hoodie+Black,92,3,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Android+Large+Removable+Sticker+Sheet,92,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mens+Microfleece+Jacket+Black,92,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/YouTube+Small+Sticker+Sheet,90,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Unisex+Tee,90,3,146.0
https://shop.googlemerchandisestore.com/google+redesign/shop+by+brand/youtube/quickview,87,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Crew+Socks,87,1,16.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Android+Puzzlebot+v2,85,1,64.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Writing/Maze+Pen.axd,85,4,73.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Heathered+Pom+Beanie,85,5,255.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/YouTube+Iconic+Play+Pin,81,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/mens/mens+t+shirts,80,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/youtube+icon+tee+charcoal,80,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mens+Tech+Fleece+Grey,79,5,370.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Camp+Mug+Ivory,78,3,69.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Raincoat+Navy,77,1,120.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mens+Tech+Fleece+Vest+Charcoal,77,1,126.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Utensil+Set,76,2,24.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Crew,75,5,309.0
https://shop.googlemerchandisestore.com/google+redesign/new,74,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/hats,73,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Mug,72,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Messenger+Bag,72,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+French+Terry+Sweatshirt,71,3,224.0
https://shop.googlemerchandisestore.com/clearance/clearance-accessories/,71,0,0.0
https://shop.googlemerchandisestore.com//Google+Redesign/Office/Writing/Maze+Pen.axd,70,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Canteen+Bottle+Black,69,3,827.0
https://shop.googlemerchandisestore.com/Google+Redesign/Electronics/Audio,69,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mens+Softshell+Moss,69,5,360.0
http://shop.googlemerchandisestore.com/google+redesign/shop+by+brand/youtube,68,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/YouTube+Play+Mug,67,1,13.0
https://shop.googlemerchandisestore.com/Google+Redesign/Electronics,67,1,156.0
https://shop.googlemerchandisestore.com/google+redesign/lifestyle/bags,66,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/I+am+Remarkable,65,1,110.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Cup+Cap+Tumbler+Grey,65,1,77.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Black+Cloud+Zip+Hoodie,64,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Premium+Sunglasses,64,1,23.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Techpack+V2,64,2,70.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+FC+Longsleeve+Ash,61,3,262.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Woodtop+Bottle+Black,59,4,214.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Packable+Bag+Black,58,2,95.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Cotton+Cap+LS,58,2,38.0
