date,visits,orders,sales
2020-11-01,2594,0,773.0
2020-11-02,3682,1,4789.0
2020-11-03,5281,1,3313.0
2020-11-04,4280,1,2197.0
2020-11-05,3794,1,1792.0
2020-11-06,3264,1,3438.0
2020-11-07,2239,1,2531.0
2020-11-08,2132,1,3760.0
2020-11-09,3227,1,2154.0
2020-11-10,3781,1,4041.0
2020-11-11,3764,29,4428.0
2020-11-12,3631,54,3349.0
2020-11-13,3299,78,5831.0
2020-11-14,2334,30,2338.0
2020-11-15,2190,21,1483.0
2020-11-16,3495,69,5046.0
2020-11-17,4011,98,6227.0
2020-11-18,4092,59,4575.0
2020-11-19,4150,42,5752.0
2020-11-20,4083,54,8792.0
2020-11-21,3151,34,4336.0
2020-11-22,2650,30,3428.0
2020-11-23,3914,70,8482.0
2020-11-24,4169,107,10345.0
2020-11-25,4292,96,8121.0
2020-11-26,4058,55,4133.0
2020-11-27,3928,91,6699.0
2020-11-28,3345,71,6255.0
2020-11-29,3206,50,3862.0
2020-11-30,4514,135,11990.0
2020-12-01,4912,97,6258.0
2020-12-02,4759,78,5201.0
2020-12-03,5140,87,4317.0
2020-12-04,4675,93,6458.0
2020-12-05,3462,85,6396.0
2020-12-06,3302,42,2328.0
2020-12-07,5409,105,8472.0
2020-12-08,7522,121,8695.0
2020-12-09,6207,142,10863.0
2020-12-10,5758,137,10756.0
2020-12-11,5476,156,10400.0
2020-12-12,4087,102,6284.0
2020-12-13,3666,69,4395.0
2020-12-14,5048,93,8505.0
2020-12-15,5678,133,9738.0
2020-12-16,5485,142,11509.0
2020-12-17,5282,124,6745.0
2020-12-18,4782,106,6624.0
2020-12-19,3558,51,2782.0
2020-12-20,3247,20,1399.0
2020-12-21,3950,51,3429.0
2020-12-22,3791,57,3230.0
2020-12-23,3406,67,4418.0
2020-12-24,2773,23,1192.0
2020-12-25,2623,17,552.0
2020-12-26,2651,16,734.0
2020-12-27,2646,20,1161.0
2020-12-28,3329,35,2097.0
2020-12-29,3400,24,1418.0
2020-12-30,3182,22,1604.0
2020-12-31,2587,24,2595.0
2021-01-01,2289,13,975.0
2021-01-02,2705,14,1026.0
2021-01-03,2753,14,552.0
2021-01-04,3317,16,834.0
2021-01-05,4410,28,1143.0
2021-01-06,5951,31,2000.0
2021-01-07,4607,24,1452.0
2021-01-08,4217,32,1699.0
2021-01-09,3239,20,1363.0
2021-01-10,2974,14,974.0
2021-01-11,3915,27,1496.0
2021-01-12,4677,47,2547.0
2021-01-13,4477,35,1858.0
2021-01-14,4321,49,3274.0
2021-01-15,3893,43,2071.0
2021-01-16,3146,24,1461.0
2021-01-17,2960,13,481.0
2021-01-18,3561,18,1223.0
2021-01-19,4146,46,3756.0
2021-01-20,4727,84,6706.0
2021-01-21,4639,51,4206.0
2021-01-22,4031,92,5552.0
2021-01-23,3088,42,2747.0
2021-01-24,2928,35,2408.0
2021-01-25,3862,54,3353.0
2021-01-26,4048,23,1259.0
2021-01-27,4271,13,457.0
2021-01-28,4056,6,128.0
2021-01-29,3741,7,190.0
2021-01-30,2807,6,159.0
2021-01-31,2758,1,0.0
